Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AMG core regression,Chrome 67.0.3396.79,,2018-06-26 11:31:39,2018-06-26 11:35:35,3m - 56.246s,FAILED
,,,,,,
Test Cases/Local country disclaimer/Site disclaimer - rejection,Chrome 67.0.3396.79,Site disclaimer,2018-06-26 11:31:39,2018-06-26 11:32:19,40.136s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-26 11:31:40,2018-06-26 11:31:44,4.610s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 67.0.3396.79,,2018-06-26 11:31:44,2018-06-26 11:31:44,0.002s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 67.0.3396.79,,2018-06-26 11:31:44,2018-06-26 11:31:45,0.277s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.79,,2018-06-26 11:31:45,2018-06-26 11:31:48,3.009s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-06-26 11:31:48,2018-06-26 11:31:58,10.446s,PASSED
maximizeWindow,Chrome 67.0.3396.79,,2018-06-26 11:31:58,2018-06-26 11:31:59,1.286s,PASSED
click,Chrome 67.0.3396.79,,2018-06-26 11:31:59,2018-06-26 11:32:00,0.890s,PASSED
verifyTextPresent,Chrome 67.0.3396.79,,2018-06-26 11:32:00,2018-06-26 11:32:00,0.167s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-06-26 11:32:00,2018-06-26 11:32:01,0.839s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-06-26 11:32:01,2018-06-26 11:32:04,2.536s,PASSED
"Statement - autoit_prj = ""C:\Users\ghetherington\Katalon Studio\HSBC AMG\autoIT\AMG credentials.exe""",Chrome 67.0.3396.79,,2018-06-26 11:32:04,2018-06-26 11:32:04,0.002s,PASSED
Statement - java.lang.Runtime.getRuntime().exec(autoit_prj),Chrome 67.0.3396.79,,2018-06-26 11:32:04,2018-06-26 11:32:04,0.006s,PASSED
Statement - java.lang.Thread.sleep(3000),Chrome 67.0.3396.79,,2018-06-26 11:32:04,2018-06-26 11:32:07,3.001s,PASSED
